Company Name,Stock Symbol
Asia Amalgamated Holdings Corporation,AAA
"AbaCore Capital Holdings, Inc.",ABA
Asiabest Group International Inc.,ABG
Ayala Corporation,AC
ACEN CORPORATION,ACEN
"Alsons Consolidated Resources, Inc.",ACR
"Aboitiz Equity Ventures, Inc.",AEV
"Alliance Global Group, Inc.",AGI
Alternergy Holdings Corporation,ALTER
"AgriNurture, Inc.",ANI
A. Soriano Corporation,ANS
Aboitiz Power Corporation,AP
Anglo Philippine Holdings Corporation,APO
Raslag Corp.,ASLAG
"ATN Holdings, Inc.",ATN
Axelum Resources Corp.,AXLM
"BHI Holdings, Inc.",BH
"Bogo-Medellin Milling Company, Inc.",BMM
Basic Energy Corporation,BSC
Concrete Aggregates Corporation,CA
"Central Azucarera de Tarlac, Inc.",CAT
"Concreat Holdings Philippines, Inc.",CHP
Concepcion Industrial Corporation,CIC
"Century Pacific Food, Inc.",CNPF
"Cosco Capital, Inc.",COSCO
Citicore Renewable Energy Corporation,CREC
Crown Asia Chemicals Corporation,CROWN
Del Monte Pacific Limited,DELM
"DMCI Holdings, Inc.",DMC
"D&L Industries, Inc.",DNL
East Coast Vulcan Mining Corporation,ECVC
EEI Corporation,EEI
Emperador Inc.,EMI
"Euro-Med Laboratories Phil., Inc.",EURO
"San Miguel Food and Beverage, Inc.",FB
"Figaro Culinary Group, Inc.",FCG
Filinvest Development Corporation,FDC
First Gen Corporation,FGEN
F & J Prince Holdings Corporation,FJP
"Alliance Select Foods International, Inc.",FOOD
First Philippine Holdings Corporation,FPH
"Forum Pacific, Inc.",FPI
"Fruitas Holdings, Inc.",FRUIT
Filsyn Corporation,FYN
Greenergy Holdings Incorporated,GREEN
"Ginebra San Miguel,  Inc.",GSMI
"GT Capital Holdings, Inc.",GTCAP
"House of Investments, Inc.",HI
"Integrated Micro-Electronics, Inc.",IMI
"Ionics, Inc.",ION
Jollibee Foods Corporation,JFC
"JG Summit Holdings, Inc.",JGS
Jolliville Holdings Corporation,JOH
"The Keepers Holdings, Inc.",KEEPR
"Keppel Philippines Holdings, Inc.",KPH
"Liberty Flour Mills, Inc.",LFM
LMG Corp.,LMG
Lodestar Investment Holdings Corporation,LODE
Lopez Holdings Corporation,LPZ
"LT Group, Inc.",LTG
"Macay Holdings, Inc.",MACAY
"Max's Group, Inc.",MAXS
Manila Electric Company,MER
"Millennium Global Holdings, Inc.",MG
Metro Global Holdings Corporation,MGH
Mabuhay Holdings Corporation,MHC
Monde Nissin Corporation,MONDE
Mabuhay Vinyl Corporation,MVC
"Manila Water Company, Inc.",MWC
Megawide Construction Corporation,MWIDE
"Maynilad Water Services, Inc.",MYNLD
"Pacifica Holdings, Inc.",PA
Petron Corporation,PCOR
PetroEnergy Resources Corporation,PERC
Phinma Corporation,PHN
"Shakey's Pizza Asia Ventures, Inc.",PIZZA
Panasonic Manufacturing Philippines Corporation,PMPC
Philippine National Construction Corporation,PNC
"Phoenix Petroleum Philippines, Inc.",PNX
Pryce Corporation,PPC
"Prime Media Holdings, Inc.",PRIM
"Roxas and Company, Inc.",RCI
Repower Energy Development Corporation,REDC
Republic Glass Holdings Corporation,REG
RFM Corporation,RFM
"Roxas Holdings,  Inc.",ROX
Semirara Mining and Power Corporation,SCC
"Swift Foods, Inc.",SFI
"Solid Group, Inc.",SGI
"Synergy Grid & Development Phils., Inc.",SGP
Shell Pilipinas Corporation,SHLPH
SM Investments Corporation,SM
San Miguel Corporation,SMC
SPC Power Corporation,SPC
Seafront Resources Corporation,SPM
SP New Energy Corporation,SPNEC
Supercity Realty Development Corporation,SRDC
Steniel Manufacturing Corporation,STN
TKC Metals Corporation,T
Cirtek Holdings Philippines Corporation,TECH
"Top Frontier Investment Holdings, Inc.",TFHI
Top Line Business Development Corp.,TOP
Uniholdings Inc.,UNH
Universal Robina Corporation,URC
Vitarich Corporation,VITA
"Victorias Milling Company, Inc.",VMC
Vivant Corporation,VVT
"Wellex Industries, Incorporated",WIN
"Zeus Holdings, Inc.",ZHI
